274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
274,274,274,274,252,274,274,274,274,270,270,274,274,274,270,274,274,274,274,274,274,274,274,274,274,274,270,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,270,274,274,274,274,274,274,274
274,274,252,252,274,274,274,274,270,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
274,274,252,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274,273,274,274,274,274,274,274,274,274,252,274,274,271,274,274,274,274,274,274,274,272,274,274,274,274,274,274,274,274,274,274,270,274,274,274
274,274,274,274,274,410,411,411,411,411,411,411,411,411,411,411,411,411,411,411,412,274,274,274,274,274,274,271,274,274,274,274,274,274,274,274,274,270,274,274,272,272,274,274,274,274,274,274,274,274,274,274,274,274,274,274,274
274,274,274,274,274,432,507,508,508,509,506,509,506,510,506,508,509,508,509,507,476,412,272,170,188,188,188,188,188,188,188,188,188,188,188,188,188,171,270,274,272,274,274,274,274,274,271,274,274,274,274,274,274,274,274,274,274
274,274,274,274,274,432,507,396,397,398,507,508,510,507,509,508,506,506,507,509,508,476,412,189,267,264,266,267,268,267,266,268,265,264,265,268,268,187,188,188,188,188,188,188,188,188,171,274,274,270,274,274,274,274,274,274,274
274,274,274,274,410,475,507,418,419,536871336,397,397,397,397,397,397,397,397,397,398,510,510,434,1610613264,1610613264,529,265,268,264,267,267,268,265,264,264,268,267,264,265,268,267,268,268,266,266,264,187,171,274,274,274,274,274,274,274,274,274
274,274,274,274,432,508,510,440,441,424,487,485,487,487,487,487,487,484,487,420,508,509,434,509,506,528,266,268,268,265,264,268,268,265,264,268,268,267,265,267,266,265,265,268,267,264,268,187,171,274,271,274,274,274,274,274,274
274,274,274,274,432,507,506,508,509,440,441,441,441,441,441,441,441,424,487,420,510,510,434,508,508,528,268,266,264,266,267,266,267,267,267,266,264,267,265,267,268,268,264,264,265,268,268,264,165,274,274,271,274,274,274,274,274
274,274,274,274,432,508,510,509,510,508,506,509,508,509,510,508,510,418,485,420,510,508,434,484,509,528,265,266,267,264,154,155,155,155,155,155,155,155,155,155,155,155,155,155,156,268,267,265,187,171,273,274,252,274,274,274,274
274,274,272,274,432,507,506,508,507,506,507,507,508,510,508,507,509,418,487,420,507,510,434,509,507,528,265,267,266,266,176,181,199,199,199,199,199,199,199,199,199,199,199,182,178,265,268,268,266,187,171,274,274,274,274,274,274
274,272,274,274,432,510,507,509,509,510,507,509,507,508,510,507,507,418,487,420,510,498,417,507,508,528,266,264,265,266,176,178,265,266,267,266,265,264,264,265,268,267,264,176,178,264,267,264,265,264,187,171,274,274,274,274,274
274,274,274,274,413,497,510,508,509,510,509,509,509,506,508,508,508,418,487,420,498,417,439,507,508,528,268,266,265,264,176,178,267,267,266,267,268,268,265,267,266,268,265,176,178,265,264,143,144,145,268,165,274,274,274,274,274
274,274,274,274,435,413,328,328,328,328,328,328,328,328,328,328,329,261,262,263,417,439,461,509,510,528,267,267,265,267,176,178,265,266,266,264,265,265,268,265,265,267,266,176,178,266,265,165,166,167,267,187,171,274,273,274,274
274,274,274,274,435,349,350,350,350,350,350,350,350,350,350,350,351,283,284,285,439,461,485,510,1610613266,-1610612207,265,266,267,265,176,178,266,266,268,267,268,268,266,266,265,264,264,176,178,265,265,187,188,189,265,265,165,274,274,274,274
274,274,274,274,457,371,372,372,372,372,372,372,372,372,372,372,373,305,306,307,461,506,507,1610613266,-1610612207,265,265,265,264,268,176,178,267,265,264,264,265,265,268,265,266,264,264,176,178,264,268,265,266,266,264,266,165,274,274,274,274
270,274,274,274,274,167,265,-1073741296,484,509,507,507,508,510,509,509,509,418,487,420,507,508,506,528,264,264,266,264,268,266,176,203,156,267,268,265,265,265,264,268,264,268,265,176,178,264,264,265,267,265,264,266,165,274,274,274,274
274,274,274,274,274,167,265,-1073741295,-1610612208,530,506,507,509,510,507,506,506,418,487,420,509,510,1610613266,-1610612207,267,154,155,155,155,155,204,177,178,264,265,268,266,265,268,265,268,265,264,176,178,268,268,266,268,267,267,265,165,274,271,271,274
270,274,274,274,274,167,267,267,267,-1073741295,-1610612208,-1610612208,-1610612208,530,510,506,507,418,485,420,1610613266,-1610612208,-1610612207,267,268,176,177,243,177,177,242,177,200,267,264,264,267,267,265,265,267,267,268,176,178,264,266,267,267,266,268,264,165,274,274,274,274
274,274,274,274,274,167,267,265,265,267,264,268,266,-1073741295,-1610612208,-1610612208,-1610612208,446,419,445,-1610612207,268,268,268,265,176,177,181,199,199,199,200,266,266,266,268,267,268,264,265,268,268,267,176,178,265,268,266,268,268,267,266,165,274,274,274,274
